362.732524,363.612019
1362.54256,1359.444163
8099.463348,8068.737601
6367833.413097,6343071.92564
5935921316128625,5911469983910911
4880241608050529000000000000000000000000000,4859504118867035000000000000000000000000000
2709144327852487000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2697513143387087000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
+Inf,+Inf
+Inf,+Inf
+Inf,+Inf
NaN,NaN
